author,display,text,timestamp,likes,reposts,replies,mentions,is_reply,query,election,candidate,date
danielvillalona.com,🇩🇴,"Yo apuesto a mi Yegua, pero tengo una mezcla de esperanza, angustia y mucho enojo.. Espero que la sensatez triunfe frente a la barbarie. Ya lo dije en mi articulo en Medium
Solo resta esperar. #Election2024 #ElectionDay",2024-11-05T23:09:15.550Z,1,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jennyleeshee.bsky.social,Jenny Lee Shee,I don’t think I can handle watching the #Election2024 results roll in. I think I’ll watch something more relaxing like the Christmas episode of #TheBear instead.,2024-11-05T23:07:47.328Z,33,1,2,[],False,#Election2024,US_2024,Neutral,2024-11-05
jaredrutecki.bsky.social,Jared Rutecki,"While you are nervously watching Twitter, CNN and MSNBC all night, you can also refresh WTTW all night to get updates on races as they come in. #Election2024",2024-11-05T23:06:03.354Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
eudraco.co.uk,Dr G.G. EuDraco,"Election Night Coverage! 
Woooo! 🇺🇸❎🎉
#Election2024 #USElections2024",2024-11-05T23:04:03.518Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jbonbluesky.bsky.social,JB,"#Election2024 #Washington #USCapitol #J4 #Jan4 #January4 #Insurrection 

Imagine working as a U.S. Capitol police officer with all the nutjobs attracted to the building.

""The man smelled like fuel, had a torch and a flare gun""

""At this point, there is no information on any motive or plan.""",2024-11-05T23:03:33.708Z,37,8,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
dailymail.co.uk,Daily Mail ,"What happens if the election between Donald Trump and Kamala Harris ends in an electoral college tie? www.dailymail.co.uk/news/article... 

#election #election2024 #trump #harris #blueskyelection",2024-11-05T23:02:42.619Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
arkbarkarts.bsky.social,⭐️ Ark--Bark ⭐️,"Hewwo US-based followers! Did you vote?

Reply to this with a pic of your sticker and a ref sheet and I'll make you a silly little doodle like this!
---
#fursona #furry #election2024 #illustration",2024-11-05T23:02:39.896Z,4,2,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
seinenninja.bsky.social,SeinenNinja | 𐑕𐑱𐑯𐑧𐑯 𐑯𐑦𐑯𐑡𐑩,Annnnd here we go. First polls have closed #election2024,2024-11-05T23:02:28.852Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
politicalsnarke.bsky.social,Political Snarke,"Remember: exit polls are trash! They aren't real data! Don't depend on them! 

Now let's all watch them come in together! 

#Election2024",2024-11-05T23:01:13.109Z,1,1,0,[],True,#Election2024,US_2024,Neutral,2024-11-05
politicalfeed.bsky.social,politicalfeed,"High voter turnout is being reported in key battleground states as Election Day unfolds! Michigan, Georgia, and Pennsylvania are seeing record numbers despite threats and minor issues. With polls closing soon, every vote counts! #Election2024",2024-11-05T23:00:30.387Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
trendingworld.bsky.social,Trending - World,"Top tags in the last 15 minutes 🧭:

1. #oc
2. #Vote
3. #fanart
4. #DigitalArt
5. #ElectionDay
6. #illustration
7. #PixelArt
8. #election2024
9. #gamedev
10. #FFXIV
",2024-11-05T23:00:12Z,3,0,0,[],False,#Election2024,US_2024,Neutral,
foxmental.bsky.social,Jack C.M,Red or blue? The bellwether counties that could swing the US election. Via @guardian #Politics 🇺🇸 🗳️ #Election2024,2024-11-05T23:00:01.853Z,0,0,0,['guardian'],False,#Election2024,US_2024,Neutral,2024-11-05
politicalsnarke.bsky.social,Political Snarke,"Okay, everybody, it's here! It's #Election2024 day! Here is what we know so far:",2024-11-05T22:59:59.571Z,1,1,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
neqone.bsky.social,Hank G,"YouTube channels I regularly follow. The ones in the rotation being...
The Bulwark: youtube.com/@bulwarkmedia
Pondering Politics: youtube.com/@ponderingpolitics
The Majority Report: youtube.com/@TheMajorityReport
#uspoli #Election2024 (3/3)",2024-11-05T22:59:04Z,6,2,0,"['bulwarkmedia', 'ponderingpolitics', 'TheMajorityReport']",True,#Election2024,US_2024,Neutral,
theodoresnapdragon.bsky.social,Theo Transcendragons,"Anyway. I have been more political lately than I want, I would rather post my art and writing. But here’s one last plea to vote over a background harvested from some of my “August Out of Time” inspired visual art. I’m going to peace out for the rest of tonight. #vote #election2024 #transartist",2024-11-05T22:55:34.989Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
neilkleid.bsky.social,Neil Kleid,"My nine year old just came downstairs, grabbed a flashlight from the junk drawer, asked me “So? Who’s the president?” And then he ran upstairs.

So, yeah. Maybe I should go see what he’s up to, huh?

#ElectionDay #electionday2024 #election2024",2024-11-05T22:54:36.393Z,4,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
cesardomity.bsky.social,Cesar Cientista 🚩13 (セザール),"Vai ser engraçado. 
Mas também não.
#Election2024",2024-11-05T22:53:15.219Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
monkeyflower.infosec.exchange.ap.brid.gy,🦋 Ben West -  🐒🌻,"Heads up we might not know the outcomes of the US election tonight if its close. Pace yourselves...

#election #election2024 #uspol #uspolitics #trump #kamalaHarris #make_it_stop",2024-11-05T22:51:53.000Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News: First polls close in 10 minutes! 

#Election2024",2024-11-05T22:51:35.781Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
shoggothkisses.bsky.social,ari 🌹🍉,"STAY IN LINE!! DON'T FORGET!! 

THE POLLS WILL NOT CLOSE UNTIL EVERYONE IN LINE HAS VOTED !!!!

DO NOT LET ""CLOSING TIME"" STOP YOU !!!! 

#election2024",2024-11-05T22:51:00.818Z,3,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
waruwo.bsky.social,わるを。,"www3.nhk.or.jp/news/special...
いよいよアメリカ大統領選+連邦議会選挙開票開始か……
日本への影響も大きいだろうし、どうなるか議会構成含めて気になるところ
#election2024",2024-11-05T22:50:41.837Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
warnercrocker.mastodon.social.ap.brid.gy,Warner Crocker,"In just over 10 minutes we’ll get the first BIG and all important TOO EARLY TO CALL announcements.

In just over 10 minutes I will crack this open. #politics #Election2024 #voting",2024-11-05T22:50:26.000Z,0,1,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
warnercrocker.bsky.social,Warner Crocker,"In just over 10 minutes we'll get the first BIG and all important TOO EARLY TO CALL announcements. 

In just over 10 minutes I will crack this open. #politics #Election2024 #voting",2024-11-05T22:50:23.866Z,4,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
gisermangroup.bsky.social,GisermanGroup.com,"🗳️When Will We Know The Winner?
💸Stocks Soar On Election Day, Signal Harris Win
🔫Trump Suggests Shooting Reporters!
📱Election Disinformation Could Spark Riots
🚌Daycare Costs On The Ballot
🎶Quincy Jones Dead

open.substack.com/pub/giserman...
#BreakingNews #Election2024 #stocks",2024-11-05T22:49:31.183Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
charmingmalcontent.bsky.social,Charming Malcontent,"Early #ExitPolls indicate #Democracy itself is the ""most important issue""... even above the #Economy!

#EndMAGA
#Election2024
#CrushFascism
#WomenWillSaveAmerica",2024-11-05T22:49:18.220Z,2,0,0,[],False,#Election2024,US_2024,CandidateA,2024-11-05
brendanreid20.bsky.social,Brendan Reid,"STAY IN LINE! As long as you get to the polls before they close, you WILL be allowed to vote! #ElectionDay #election2024 #BlueWave2024",2024-11-05T22:45:26.546Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
trendingworld.bsky.social,Trending - World,"Top tags in the last 15 minutes 🧭:

1. #oc
2. #Vote
3. #fanart
4. #DigitalArt
5. #ElectionDay
6. #PixelArt
7. #illustration
8. #election2024
9. #FFXIV
10. #gamedev
",2024-11-05T22:45:11Z,2,0,0,[],False,#Election2024,US_2024,Neutral,
matttviews.bsky.social,Matt,"My #election2024 prediction: talk of “too close to call” overblown.

#harriswalz",2024-11-05T22:44:12.235Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
xennialmusic.bsky.social,Xennial Music - Music of the 1990s & 2000s,"If you're stressing out watching early returns for #election2024, I've got some tunes streaming live for you tonight at www.wapj.org (and via TuneIn radio app - search ""Torrington Community Radio).

Live from 6-8 EST, some great #90s & #00s music.  GREAT playlist- lots of heavier stuff tonight",2024-11-05T22:44:05.475Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
aggiebrett.bsky.social,Brett Nicholson,"Somebody please point me to some good reliable election news accounts over here— I’m feel kinda sure the other place is gonna have some owner- sponsored lies tonight.
#Election2024",2024-11-05T22:43:48.397Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
drjennings.bsky.social,Will Jennings📉🗳️,"Nearly a third of voters (31%) are not confident that the election has been conducted fairly and accurately, while nearly three quarters think democracy in the US today is threatened. 

Analysis of #Election2024 for Sky News.",2024-11-05T22:43:27.568Z,11,6,3,[],False,#Election2024,US_2024,Neutral,2024-11-05
jrosenbaum.com.au,Dr J. Rosenbaum,"Y'all I am so nervous, my whole body is clenched. You would think this election would be a no-brainer and yet I am terrified. #election2024 ",2024-11-05T22:43:27.059403Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
blockintheback.bsky.social,Kristen Kwan,"I always vote, because my immigrant parents taught me what an important right (and privilege) it is. 
I cast this vote as a scientist, and also for my kids and for the right to the healthcare I needed and was fortunate to get when I had a miscarriage in 2006.
#vote #election2024",2024-11-05T22:42:23Z,0,0,0,[],False,#Election2024,US_2024,Neutral,
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News:

Exit polls showing that a majority of Americans felt Promised Consort Radahn needed to be nerfed.

#Election2024",2024-11-05T22:42:07.034Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
foxyshaggy.bsky.social,Shaggy FLOOF,"Sue Sylvester projected to win the 2024 Election with a 97% advance🗳️✅
#Election2024 #Glee #Foryou",2024-11-05T22:40:14.581Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
foxmental.bsky.social,Jack C.M,"🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸🤞🇺🇸 

Early voting data gives Kamala Harris narrow lead in the US election. Via @dailymirror #Politics 🇺🇸 🗳️ #Election2024",2024-11-05T22:40:00.572Z,0,0,0,['dailymirror'],False,#Election2024,US_2024,CandidateB,2024-11-05
politicalfeed.bsky.social,politicalfeed,"🚨 Philadelphia Police say they have no knowledge of “massive CHEATING” as claimed by Trump on Truth Social. Trump posted about alleged election fraud in Philly, but no issues requiring police action have been reported. #Election2024 #Vote2024",2024-11-05T22:39:55.515Z,2,0,0,[],False,#Election2024,US_2024,CandidateA,2024-11-05
thegavinsheehan.bsky.social,Gavin Sheehan,"EVERYONE: I'll be watching the election results tonight! This is the most important election...

ME: I'm gonna take a bunch of medication and zone out to alt-rock until I wake from a Robotussin coma and find out we still don't have a winner at 2am

#ElectionDay #Election2024",2024-11-05T22:39:39.321Z,3,0,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
politicalfeed.bsky.social,politicalfeed,"🚨 Arizona voter sues Elon Musk over $1 million giveaway, alleging fraud! Claim says Musk's PAC lied about ""random"" winner selection for the daily giveaway. Plaintiff argues she wouldn’t have signed if she knew winners were handpicked. #Election2024",2024-11-05T22:38:06.052Z,3,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jbonbluesky.bsky.social,JB,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 
#Whiskey #Whisky 
#Bourbon 

Opening this tonight!

Madam Whiskey 

Cheers! 🥃",2024-11-05T22:37:48.694Z,3,0,1,[],False,#Election2024,US_2024,CandidateB,2024-11-05
occasionaladult.bsky.social,Leilani,"I voted by mail, but we still get an “I Voted” sticker with our ballot. Used it to get my free Krispy Kreme donut today 👍.  
#Election2024 #Vote #Donuts",2024-11-05T22:37:07.919Z,3,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
gregpalast.bsky.social,Greg Palast,"Unless it’s absolutely necessary, do not accept a provisional ballot. Watch this clip from our recent Save Your Vote broadcast to find out why — and what to do if someone tries to shunt you to a provisional “placebo” ballot.

▶️ www.gregpalast.com/an-essential...

#Vote #ElectionDay #Election2024",2024-11-05T22:36:58.140Z,4,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
villagemoron.bsky.social,Michael Wade Moss,"Okay, Indiana is usually one of the first states to call. Historically a red state. 

Probably will be tonight too 

#Election2024",2024-11-05T22:36:43.284Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News: 40k absentee ballots will need to be recounted in Milwaukee.

#Election2024",2024-11-05T22:35:24.491Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
stoovrs.bsky.social,stavros,"a message from president charlie
#oc #art #election2024",2024-11-05T22:34:17.973Z,5,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
soyborza.bsky.social,El magical Borza ✨➡#EVA2025,"Hoy se vota en estados unidos ¿se viene otro estallido? Hace 4 años hice un juego en bitsy reflexionando sobre un tema complejo, que parecía ser abordado de una forma poco profunda. Este juego no habla de soluciones, sino de consecuencias.
 
#Election2024
borza.itch.io/the-trumpeter",2024-11-05T22:33:39.510Z,1,0,0,[],False,#Election2024,US_2024,CandidateA,2024-11-05
purpleork.bsky.social,Tormentum Jones,"Pass it on!  Melania voted for Kamala!

#MelaniaVoted4Kamala
#Election2024",2024-11-05T22:31:24.813Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,Election News: The first polls close in 30 minutes! #Election2024,2024-11-05T22:30:19.031Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
eliot-l.social.coop.ap.brid.gy,Eliot Lash,"[USPol, EFF article on misinformation]

https://mastodon.social/@eff/113432359325926970

#EFF #ElectronicFrontierFoundation #USPol #Election2024 #Misinformation",2024-11-05T22:27:49.000Z,0,0,0,['eff'],False,#Election2024,US_2024,Neutral,2024-11-05
jocyanide.bsky.social,Jo-Cyanide,"Boggy will win the race, whether it's sledding or the United States presidential election. 
Boggy supporters, stand back and stand by. #election2024",2024-11-05T22:26:19.066Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
laurakeeney.bsky.social,Laura Keeney || ثُرَيَّا,Resurrecting this one from 2020. #Election2024,2024-11-05T22:25:16.006Z,3,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
warrenthorntonshow.bsky.social,Warren Thornton,"ELECTION MADNESS! WHICH SIDE ARE YOU ON?
 rumble.com/v5m3uuy-elec...  #us #election2024 #usa #American #Trump  #Harris  #Republican  #Democrat  #new
MY FREE NEWSLETTER 👉 www.warrenthornton.com
TELEGRAM 👉 t.me/warrenthornt...
X / TWITTER 👉 x.com/WARRENTSHOW
www.patreon.com/TheRealTruth...",2024-11-05T22:24:46.078Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
redfives.bsky.social,𝓢𝓽𝓮𝓿𝓮𝓷 💙🦋🌹,"Home from a very long and totally arduous work day…jk we closed 5 hours early so everyone could vote! 🗳️🇺🇸

And yes, I wore my Ash outfit again lol
#Election2024 #ElectionDay",2024-11-05T22:22:41.799Z,10,0,2,[],False,#Election2024,US_2024,Neutral,2024-11-05
evaexion.bsky.social,Tim VanDragt,"Please oh please, #vote for Kamala Harris!
#voteblue #democrat #liberal #election2024",2024-11-05T22:22:19.896Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
cwolbrecht.bsky.social,Christina Wolbrecht,"Apparently I am in an election 2024 starter pack, so for my new followers, please enjoy this thread about ""women voting like their husbands"" as we wait for the returns to come in. #election2024",2024-11-05T22:20:56.987Z,13,2,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
foxmental.bsky.social,Jack C.M,Opinion | Don’t Let Trump Make America Into an Image of Himself. Via @nytimes #Politics 🇺🇸 🗳️ #Election2024,2024-11-05T22:20:00.836Z,1,0,0,['nytimes'],False,#Election2024,US_2024,CandidateA,2024-11-05
realguldukat.bsky.social,Gul Dukat,ATTENTION BAJORAN WORKERS This Comm array has been seized by the Cardassian Liberation Front. I served with Gul Dukat & he must not be allowed to win again. I call on all Cardassians to join me & 'Fly' with Michael Burnham. For Cardassia! #STARTREK #Election2024 #VoteKamala,2024-11-05T22:19:06.055Z,104,21,5,[],False,#Election2024,US_2024,CandidateB,2024-11-05
telenord.bsky.social,Telenord.com,"Telenord te ofrece información en la Noche Electoral de Estados Unidos, de los resultados tanto en voto popular, y los 538 votos electorales que representan a cada estado, que y que definirán al próximo inquilino de la Casa Blanca.
telenord.com/index.php?op... #Election2024 #ElectionDay",2024-11-05T22:18:11.612Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election news:

Today on Election Day, a trend in Google searches is “who is running for president?”

#Election2024",2024-11-05T22:18:09.087Z,0,1,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
fabricatus.com,Mark Armstrong,Just going to leave this here for no reason. #Election2024,2024-11-05T22:15:27.323Z,1,1,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
james.barisic.fr,James Barišić 🇭🇷,"I think what's important is to remember that today is the day for choices but tomorrow is the day for coming together and, in that spirit, I wish everyone in the US the best of luck and may the best woman win. 🇺🇸🗳️

#USElection #Election2024 #Vote",2024-11-05T22:15:17.003Z,13,1,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,First statewide polls release in two hours. #Election2024,2024-11-05T22:13:01.730Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
supergeek21.bsky.social,Jessie—Supergeek21,All dressed up to go cover #election2024 if you haven’t yet get out and #vote #voteblue,2024-11-05T22:12:22.061Z,2,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News: Edison Research exit polls has more women voting this year than 2020, with higher favorability of Harris over Trump..

#Election2024",2024-11-05T22:11:12.962Z,0,1,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
lanewight.bsky.social,The Howling North🇨🇦🖤🩶🤍💜,"One thing I have learned this election is that Grandpa Simpson was right.
#election2024",2024-11-05T22:08:02.336Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
moderndiogenes11.bsky.social,Modern Diogenes,"No, you're the one with the Associated Press website open to watch election results. #election2024",2024-11-05T22:06:38.683Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
applyjuicebroken.bsky.social,I just want to write!,"We got two options tonight boys
#election2024",2024-11-05T22:06:08.818Z,0,0,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
a-b-evans.bsky.social,Dr Adam Evans,"First exit poll of the night, just released by CNN #election2024 #USElection2024",2024-11-05T22:05:17.243Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
johnhaubenreich.bsky.social,John Haubenreich,"Shamelessly stealing this from my boss, but the weather in Nashville today (intermittently cloudy with off and on sunshine) makes me think we're due for a RAINBOW #Democracy #Election2024",2024-11-05T22:05:08.384Z,0,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
sbelle01.bsky.social,🍀IrishBelle💚,"Who’s voting for who? #CNcity #CartoonNetworkCityElection #election #election2024 #CartoonNetworkCity #CartoonNetwork #ElectionDay2024 #ElectionDay 

youtu.be/wM38N1M1fhM",2024-11-05T22:03:42.716Z,3,0,2,[],False,#Election2024,US_2024,Neutral,2024-11-05
coledowden.bsky.social,Cole Dowden,"Fresh nerdy stuff. 

youtu.be/NGW8b3w3XRM?...

#vote #election2024",2024-11-05T22:03:12.930Z,2,1,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
patrickverbiest.bsky.social,Patrick Verbiest,"To all Americans, know your voting rights! Quote: ""If the polls close while you’re still in line, stay in line – you have the right to vote."" #Election2024 #VoteBlue #VoteKamala #ElectionDay #VoteHarris #VoteHarrisWalz2024

Link: www.aclu.org/know-your-ri...",2024-11-05T22:01:18.333Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News: FIRST EXIT POLLS DROPPING 

#Election2024",2024-11-05T22:00:36.062Z,1,0,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
