author,display,text,timestamp,likes,reposts,replies,mentions,is_reply,query,candidate
skfowler.bsky.social,Stacy Kern-Fowler,"Working the polls today. We have had 2 big and burly
guys in their MAGA garb. Both were asked to remove their hats & turn the shirt inside out. Neither obliged. Our VLM didn’t push the issue but I wish he would have. Other than them everyone has been great & so excited to vote.",2024-11-05T16:55:32Z,0,0,0,[],False,MAGA vote,Trump
gailwaldby.bsky.social,Gail Waldby ❌👑,"This election is a choice between two futures: One where we control our lives, and one where MAGA politicians like Trump do. Which do you choose? 
This November, make sure you can say you were there. Vote for #OurFreedomsOurFutures. 
#VoteForKamalaToday",2024-11-05T16:43:21.118Z,0,0,0,[],False,MAGA vote,Trump
marianherra.bsky.social,Mitchie's Mom@marianherra.bsky.social,"Never had Showtime.  Relied on my local library to watch ""Ray Donovan"" on DVD. Took a few years, finally finished the entire series+movie. Amazing series.

Libraries are so important.  Please support your library system.

Please vote Democrat as the MAGA movement wants to criminalize libraries. 💙🌊💙🌊",2024-11-05T16:42:29.230Z,1,0,0,[],False,MAGA vote,Neutral
machemonedo.bsky.social,Machemonedo,I was living/working for a Republican business owner who would be voted trump all the was who passed in 2014 long before it started getting bad the first time. Then my MAGA cult mom who passed in 2021 didnt get to vote for him again.,2024-11-05T16:35:46.329Z,0,0,0,[],True,MAGA vote,Trump
lizzysizzy.bsky.social,🌷Liz is Tired 🌷,"Thank you, I live in a MAGA state so it kinda felt illegal to vote for Harris.😅",2024-11-05T16:31:19.916Z,1,0,1,[],True,MAGA vote,Neutral
sarahndipity.bsky.social,"sar-ra-ra-ah-ah-ah-ro-ma-ro-ma-ma-gaga,ooh, la-la","if i, as a nurse, can competently and kindly care for patients with swastika tattoos and maga hats using homophobic and racist and sexist slurs every they open their mouth, then everyone else should be able to vote without getting into fisticuffs. 

im just saying",2024-11-05T16:30:40.515Z,5,0,0,[],False,MAGA vote,Trump
nowbreezing.ntw.app,☁️Now🤖Breezing💨,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - voted
️⚠️💨1 - civic
️⚠️💨1 - simulations
️⚠️💨1 - fujimoto
️⚠️💨1 - wohl
️⚠️💨1 - and/or
️⚠️💨1 - 80,000
️⚠️💨1 - ukraine
️⚠️💨1 - polling
️⚠️💨1 - natürlich
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-11-05T16:20:48.246639+00:00,2,0,0,[],False,MAGA vote,Neutral
ohhellkell.bsky.social,Kelly Warner,"Deadpool can't vote, he's Canadian. Steve Rogers would never vote for Trump. He might wear the American flag but that doesn't make him a MAGA chump. Frasier absolutely votes trump. So does Michael Scott. Tony Stark writes in his own name. Hannibal would never vote for someone so rude.",2024-11-05T16:17:02.558Z,5,0,0,[],False,MAGA vote,Trump
jasongooljar.org,Jason of the Resistance,"From Halloween to Election Day - seen in Arlington, VA. If you vote for Trump/MAGA you'll look worse than this! SAD!",2024-11-05T16:16:34.816Z,0,0,0,[],False,MAGA vote,Trump
lilbabygiraffe.bsky.social,Azure Blaze 🎮 Pokopia,"Am I dissuaded from voting blue because I live in a red state?

HELL NO IM NOT

Go out and vote everyone

Vote for the rights of those whom the Maga crowd wants to suppress.

Vote for democracy, because apparently we have to do that now smh",2024-11-05T16:16:17.075Z,2,0,0,[],False,MAGA vote,Trump
mm-ilpost-bot.bsky.social,Il Post (archivio),"Blue Wall, PAC, MAGA, bro vote, eccetera
https://www.ilpost.it/live-item/blue-wall-pac-maga-bro-vote-eccetera/",2024-11-05T16:15:42.596Z,0,0,0,[],False,MAGA vote,Trump
nick-martin.bsky.social,Nick Martin,"College Republicans United, a racist and antisemitic group based at Arizona State University, plans to give food out to ""anyone who casts their vote for President Donald Trump"" today outside a polling place in Mesa, Arizona. The group says ""liberals"" can get food elsewhere.",2024-11-05T16:09:46.546Z,157,39,28,[],False,MAGA vote,Trump
sherhino.bsky.social,Sheryl Rhinehart,The only time it helps to have a brain-wormed MAGA neighbor is to look at their “vote yes” yard signs and do the opposite.,2024-11-05T16:05:03.594Z,0,0,0,[],True,MAGA vote,Trump
chiller.eurosky.social,chiller,"I'm liking what I'm seeing if you search for ""line vote"" (without quotes). Lots of people saying they haven't seen it this way since Obama's first term. 

I'm guessing you aren't allowed to wear MAGA hats/partisan apparel to vote, so I'm not taking the complete absence of them as a sign of anything.",2024-11-05T15:57:22.645Z,6,0,1,[],False,MAGA vote,Trump
stevebrokaw.bsky.social,Steve Brokaw,"Think of it this way, for almost all elections you can vote for whoever you want. Party affiliation is more for the Parties PR & census needs. As an example I’m a registered Republican (registered years ago) but primarily vote Democratic ever since MAGA took over the party",2024-11-05T15:51:18.760Z,1,0,0,[],True,MAGA vote,Neutral
tiredbabs.bsky.social,Tired (she/her),GO VOTE PLEASE!! I’m not American and even I don’t want trump to win? Basic human rights or whatever trump has going on it seems pretty simple? GO TO HELL YOU MAGA LOSERS,2024-11-05T15:45:40.900Z,0,0,0,[],False,MAGA vote,Trump
klaskeymusic.bsky.social,Kevin Laskey,"The Weirs are reliable Dems, Nick votes dem when he remembers, Daniel & Ken don't vote, Kim was MAGA until this year and is voting on abortion, Bill has gone full libertarian, Neal was a Romney-Clinton voter. Mr. Rosso was at the Capitol on January 6.",2024-11-05T15:29:55.735Z,1,0,0,[],False,MAGA vote,Trump
david.williamsons.net,David Williamson,"In case someone reading this hasn't voted yet, something I found very helpful was a local website that gave MAGA endorsements for local races. Super helpful to know who not to vote for! And local races very much matter - keep ""Karen"" off the school board!",2024-11-05T15:23:53.232Z,1,0,0,[],True,MAGA vote,Trump
steveinburnaby.bsky.social,"Stephen Walker he, him","The problem with ""Progressives"" is the same problem that the Republicans created when they embraced the Tea Party and then MAGA
The USA doesn't really have a centralist party
The ""Progressives"" are denying their vote to Harris because they want a Jewish Genocide in Israel. They won't admit it",2024-11-05T15:22:01.418Z,1,0,1,[],True,MAGA vote,Trump
nowbreezing.ntw.app,☁️Now🤖Breezing💨,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨3 - fujimoto
️⚠️💨1 - downloading
️⚠️💨1 - preserve
️⚠️💨1 - oasis
️⚠️💨1 - denji
️⚠️💨1 - voted
️⚠️💨1 - chainsaw
️⚠️💨1 - チェンソーマン
️⚠️💨1 - neither
️⚠️💨1 - civic
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-11-05T15:20:54.233876+00:00,3,0,0,[],False,MAGA vote,Neutral
dana-berube.bsky.social,Dana Berube,Did my civic duty and canceled out my MAGA dad's vote 💚,2024-11-05T15:04:34.166Z,3,0,0,[],False,MAGA vote,Trump
macabretavern.substack.com,Yanni Hamburger 🏳️‍🌈 🏳️‍⚧️🏴‍☠️ (Dirtbag Left) ,"Even if your cynical about the president, how about vote down ticket to stop this bullshit MAGA has put into place. Fucking vote all the way down to the fucking mayor and sheriff.",2024-11-05T14:57:07.994Z,3,0,0,[],False,MAGA vote,Trump
friedchurro.bsky.social,FriedChurro,"Please vote if not for yourself but for the ones around you! The outcome of today will determine the future of our lives and many across the world

Lets put MAGA in the ground one way or another and defeat them for the horrible people they are!

VOTE FOR OUR FREEDOM

#Vote2024 #HarrisWalz24",2024-11-05T14:54:56.281Z,5,0,0,[],False,MAGA vote,Harris
kucoinportuguese.bsky.social,KuCoin Português,"🌟 Fase 6 do #KuCoinGemVote, vote em seu projeto favorito agora!

🚀 GIGACHAD #GIGA
🚀 Official Mascot of the Holy Year #LUCE
🚀 MAGA #MAGA
🚀 Peanut the Squirrel #PNUT
🚀 SLERF #SLERF

👉 Vote agora: www.kucoin.com/gemvote?utm_...

Detalhes: www.kucoin.com/pt/announcem...",2024-11-05T14:51:03.075Z,0,0,0,[],False,MAGA vote,Trump
pearliasystem.neocities.org,Hana & Co,"Kamala will win, Palestinians will still die, MAGA republicans will be acting out and  the US will still be burning itself to the ground.

Go vote today. Vote knowing that neither option is perfect, but we have to protect ourselves too.

Free Palestine and Fuck the US Government",2024-11-05T14:45:48.231Z,1,0,0,[],False,MAGA vote,Trump
giantwhispers.bsky.social,Patrick Reinsborough ❌👑,"REMINDER: A takeover of the world's largest military empire and petrostate by Trump's right-wing MAGA cronies would be a global disaster. Most Earthlings don't get a vote so ask yourself what can you do? Who do you know in a swing state? GOTV will decide this election. 
bsky.app/profile/gian...",2024-11-05T14:31:33.813Z,2,1,0,[],False,MAGA vote,Trump
beckybunzy.bsky.social,"Lady Becky, Baroness of Bunzy, Bestie of Kim, Co-CEO Execubetch™️","Let me just take a moment out of your morning to remind you that this simulation is aggressively stupid, and I appreciate all of you for participating.

Regardless, please vote so we can end MAGA once and for all.",2024-11-05T14:22:11.827Z,19,0,1,[],False,MAGA vote,Trump
jbonbluesky.bsky.social,JB,"#Wisconsin #Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024 

The polls are open in Wisconsin!

This is our best chance to end the MAGA madness. Vote out Republicans - local, state and national. 

VOTE VOTE VOTE",2024-11-05T14:19:40.943Z,0,0,0,[],False,MAGA vote,Harris
irishcommentator.bsky.social,TheIrishCommentator,Election Day America…end that maga garbage once and for all.  Vote and be proud.,2024-11-05T14:16:15.004Z,1,1,0,[],False,MAGA vote,Trump
starlilstella.bsky.social,Starlit_Stella,"Trump Bros Worrying about digital currency failing. Money that exists, sort of, maybe, (but not really and nobody normal has it or uses it)  that is not reliant on any central authority, government or bank, to uphold or maintain it.. is a good reason not to vote for Harris.

MAGA is so stupid.",2024-11-05T14:11:34.621Z,9,1,0,[],False,MAGA vote,Trump
ratelimitexceeder.bsky.social,WildPartyInviteDecliner,"In a tale of two campaigns, the Republican sample ballot guy at my precinct was giving 45 second MAGA vote pitches to anyone who came a foot of him (he was behind the ""no electioneering"" line). The Democratic guy just asked if I want a sample ballot.",2024-11-05T14:08:26.416Z,33,2,1,[],False,MAGA vote,Neutral
secretsketchbook.bsky.social,Secret Sketchbook,Get out there and vote folks and help make the scary MAGA go away.,2024-11-05T14:01:41.060Z,3,0,0,[],False,MAGA vote,Trump
zactrolley.com,Zac Trolley,"The gender gap and the ads pushing women to vote differently than their husbands has me worried.
It's a smart political strategy.
It also means if Trump loses, MAGA husbands are going to beat up their wives in anger that it's their fault.",2024-11-05T13:50:58.494Z,0,0,0,[],True,MAGA vote,Trump
gvnzng.bsky.social,Gvnzng aka Victor,"MAGA guy suffering from premature insurrection slugs an election judge and that was utterly pointless you stupid, stupid stupid, stupid, stupid, stupid man.
1) He didn't get a chance to vote... and 2) Trump was never going to win Illinois, so he got his sorry ass arrested for nothing. What a dumbass",2024-11-05T13:49:32.451Z,0,0,0,[],False,MAGA vote,Trump
nowbreezing.ntw.app,☁️Now🤖Breezing💨,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - ウメ
️⚠️💨1 - voted
️⚠️💨1 - seit
️⚠️💨1 - ハラ
️⚠️💨1 - kommt
️⚠️💨1 - faire
️⚠️💨1 - esquenta
8th - 揃い
9th - wer
10th - vote
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-11-05T13:20:44.276468+00:00,1,0,0,[],False,MAGA vote,Neutral
alanallport.bsky.social,Alan Allport,"I don’t get the ‘Don Draper wouldn’t be MAGA’ takes I’m seeing. 

The guy was a self-indulgent asshole. (Though I can see him not bothering to vote at all).",2024-11-05T13:06:37.783Z,9,0,4,[],False,MAGA vote,Trump
numb.comfortab.ly, Comfortably Numb,"It's so amusing to me that in 2024 MAGA slogan is ""swamp the vote.""",2024-11-05T13:02:50.658Z,33,1,1,[],False,MAGA vote,Trump
nowbreezing.ntw.app,☁️Now🤖Breezing💨,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - hace
️⚠️💨1 - civic
️⚠️💨1 - polling
️⚠️💨1 - voted
️⚠️💨1 - gaza
️⚠️💨1 - cette
️⚠️💨1 - ⋅⋅
️⚠️💨1 - neither
️⚠️💨1 - natürlich
️⚠️💨1 - downloading
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-11-05T13:00:44.547765+00:00,3,0,0,[],False,MAGA vote,Neutral
jbonbluesky.bsky.social,JB,"#Kamala #KamalaHarris #Harris-Walz #Harris2024 #Election2024

For America to be politically healthy, we need two legit choices in each election. The Republican Party is no longer a legit choice.
This is our chance to end the MAGA madness.
Vote out Republicans top to bottom – local, state & national.",2024-11-05T12:56:23.190Z,14,4,0,[],False,MAGA vote,Harris
markspurs.bsky.social,Mark,He will vote Harris because the boorishness of Trump and MAGA offends him.,2024-11-05T12:55:27.101Z,2,0,0,[],True,MAGA vote,Trump
abbeyisme.bsky.social,Abbey Chord 🎵,The evenly splits are funny. Scarlett O’Hara would be draped in MAGA (no pun intended). Frasier and Bruce Wayne would vote Republican. 12% have never seen Parks & Rec if they think Leslie Knope is not a full on Democrat who would even consider voting against a woman candidate.,2024-11-05T12:48:10.183Z,10,0,3,[],True,MAGA vote,Trump
amberunmasked.bsky.social,Amber Love (she/her),"I didn't realize until yesterday that the updated slogan for MAGA is MAHA where they say ""Healthy"" instead. It's shocking that I discovered this in my Yoga feed (I should not be as white women forced their dominance there). But they are pretending it's bec he says he'll end the war in Gaza. #VOTE",2024-11-05T12:44:35.189Z,1,0,1,[],False,MAGA vote,Trump
abigfavour.bsky.social,,"Go vote! Don't let maga scare you
youtu.be/7rvuwnIfrZQ?...",2024-11-05T12:43:41.200Z,2,1,0,[],False,MAGA vote,Trump
jrspipboy2008.bsky.social,Jack Shipley,Today I cancelled out 1 MAGA voter in Pennsylvania. We need a lot more cancellations today. That MAGA guy was greeted by a number of others as he waited in line. They looked a lot like him. #voteblue #kamalaharris Don’t let today be the last time we can vote in this country.,2024-11-05T12:43:26.259Z,2,1,0,[],False,MAGA vote,Harris
lessweirdjack.bsky.social,You Might Know Jack,MAGA coded white guy in work boots going to vote straight blue in a red haven in the closest I’ll feel to Solid Snake,2024-11-05T12:26:59.920Z,2,0,0,[],False,MAGA vote,Trump
katherineleese.on.tgirl.quest,Leese on Life,I’m sorry to report that not a single vote for Kamala has been reported in the exit polls for the constituency of Stoke-on-Trent South.,2024-11-05T23:57:51.867Z,0,0,0,[],True,Kamala vote,Harris
kuromkai.bsky.social,{ KAI } ⚹︎ᣟ݂ 🇵🇸,reminder  that  y'all  need  to  vote  for  kamala  otherwise  y'all  are  gonna  be  screwed,2024-11-05T23:56:41.241Z,0,0,0,[],False,Kamala vote,Harris
bretthebreton.bsky.social,𝕭𝖗𝖊𝖙 𝕿𝖍𝖊 𝕭𝖗𝖊𝖙𝖔𝖓,"So before results start rolling/trickling/shambling in, I guess now's as good a time as any to throw down with my Electoral Projections! Is it optimistic? Maybe. Have Trump's chances been inflated? Oh, definitely. Away we go...",2024-11-05T23:55:13.158Z,4,0,0,[],False,Kamala vote,Trump
ericviau.bsky.social,Eric V,Ignore and just watch MSNBC covering long lines of first time voters waiting to vote for Kamala!,2024-11-05T23:54:06.253Z,0,0,0,[],True,Kamala vote,Harris
jarika.bsky.social,Jarika is revising...again y'all 🧜🏾‍♀️🧜🏾‍♀️,"A right we didn't always have as women and as Black people in this country. I couldn't fathom voting for someone who vows to take us back to that.
I'm so proud to have cast my vote for Kamala Harris & Tim Walz and democrats down the ballot. I hope you will do or have done the same.",2024-11-05T23:52:47.126Z,0,0,1,[],True,Kamala vote,Harris
renegade7654.bsky.social,ren!!,"Anyways I'm not American but please go out & vote for Kamala if you're able to & haven't yet!! There's still time!

Do not let that orange bastard control America for the next 4 years, he will drag it so deep into the ground that it'll become unrecognisable.",2024-11-05T23:52:17.889Z,0,0,0,[],False,Kamala vote,Harris
colinad.bsky.social,🔞💙🩵🦊 C.A.D. (Colin After Dark) 🦊🩵💙🔞,"Even I'm from Australia and can't vote it, I always have high hopes for Kamala Harris.",2024-11-05T23:52:06.803Z,23,0,0,[],True,Kamala vote,Harris
ekidd.bsky.social,E Kidd,"Vermont Repub governor Scott votes for Kamala Harris: vtdigger.org/2024/11/05/s...

""I did some soul searching and thought about a lot of different things… and came to the conclusion that I had to put country over party… and vote for Kamala Harris.""

Thanks to everyone who put country over party.",2024-11-05T23:50:38.101Z,0,0,0,[],False,Kamala vote,Harris
bunnyvonpink.bsky.social,BunnyVonPink,Of course we went as a family to vote! We all voted for Miss Kamala! Now it’s time to take a larazapam while I freak out while the votes come in! DOES ANYONE HAVE VALIUM?? I need a drink!! Agghhhhh!,2024-11-05T23:50:30.375Z,0,0,0,[],False,Kamala vote,Harris
qveenofthedamned.bsky.social,𓆩♕𓆪Akasha,If you didn’t vote for Kamala you don’t belong in the BNWO~,2024-11-05T23:47:43.499Z,2,0,0,[],False,Kamala vote,Harris
news-feed.bsky.social,News Feed,@washingtonpost: Outrage and disgust over the Biden administration’s handling of the Israel-Gaza war drove Arab Americans to stand in long lines to vote here Tuesday. Dozens said the issue had cost Democratic presidential nominee Kamala Harris their vote. ,2024-11-05T23:47:31.712Z,0,0,0,['washingtonpost'],False,Kamala vote,Harris
lastequinoxx.mastodon.social.ap.brid.gy,Citoyen du monstre,"Pour l'instant :

Donald Trump - 0 vote du collège électoral - 217 757 votes (59,3 %)

Kamala Harris - 0 vote du collège électoral - 145 021 votes (39,5 %)

Robert Kennedy - 0 vote du collège électoral - 2 562 votes (0,7 %)

Chase Oliver - 0 vote du collège électoral - 1 765 votes (0,5 %)

Jill […]",2024-11-05T23:47:04.000Z,0,0,0,[],False,Kamala vote,Neutral
atraidez.bsky.social,Patrick Gleason,You know large numbers of elected GOP “leaders” will secretly vote for Kamala! Her victory is the fastest way to fix the Republican Party THEY PRIVATELY DETEST TRUMP,2024-11-05T23:46:31.650Z,0,0,0,[],False,Kamala vote,Trump
trendingworld.bsky.social,Trending - World,"Top trending in the last 15 minutes 🧭:

1. Vote
2. Election
3. Trump
4. Voting
5. Kamala
6. Twitter
7. Voted
8. Harris
9. CUTE ANIMAL PIC
10. The election
",2024-11-05T23:45:37Z,1,0,0,[],False,Kamala vote,Harris
adriennebobadrian.bsky.social,Adrienne,"I love to see all the grandmas vote! They are doing what my grandma, a lifelong liberal could not do. She passed over the summer at the age of 99 and a half, and she wanted to live long enough to vote against Trump one more time. She at least got to see Kamala take over the nomination.",2024-11-05T23:41:49.083Z,3,1,0,[],False,Kamala vote,Neutral
castironirish.bsky.social,Irish (he/they)🏳️‍🌈,"Someone who has never voted before, told me that if I didn't vote for Kamala, I wasn't taking my duty to vote seriously.

Meanwhile, I've voted in every local, state, and national election since 2008 primaries. Did door knocking and phone banking for both Obama campaigns, and both Bernie Campaigns.",2024-11-05T23:41:06.802Z,5,0,0,[],True,Kamala vote,Harris
nowbreezing.ntw.app,☁️Now🤖Breezing💨,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - kornacki
️⚠️💨1 - 水曜日
️⚠️💨1 - kentucky
️⚠️💨1 - nbc
️⚠️💨1 - msnbc
️⚠️💨1 - counties
️⚠️💨1 - voted
️⚠️💨1 - turnout
️⚠️💨1 - simulations
️⚠️💨1 - indiana
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-11-05T23:40:47.982528+00:00,3,0,0,[],False,Kamala vote,Neutral
news-feed.bsky.social,News Feed,"@euronews: As Americans vote, Ukrainian troops continue fighting Russian forces. 

Kamala Harris vows ongoing support, while Donald Trump suggests cutting or turning aid into loans.

👉 

#USElection2024 https://t.co/RLKabC43pe",2024-11-05T23:40:32.684Z,0,0,0,['euronews'],False,Kamala vote,Neutral
middleeasteye-rss.bsky.social,Middle East Eye (Unofficial),"US elections 2024: As Americans head to polls, the world braces for the fallout - https://www.middleeasteye.net/news/us-elections-2024-americans-head-polls-vote-kamala-harris-donald-trump",2024-11-05T23:39:59.665Z,0,1,0,[],False,Kamala vote,Neutral
torwin.bsky.social,Torwin,"Lorenzo, the Turtle of Democracy fully endorses Kamala Harris and  encourages you to Vote! If you are stuck in Line, please stay there until you are able to exercise your right!",2024-11-05T23:39:59.623Z,1,0,0,[],False,Kamala vote,Harris
ticotaco.bsky.social,TicoTaco,"If you see this, vote for Kamala not the orange fatass",2024-11-05T23:38:36.001Z,0,0,0,[],False,Kamala vote,Harris
toba.zeroes.ca.ap.brid.gy,Eric Stein �,"[uspol]

If you're in the USA, please help elect Kamala Harris. If you're down with that and stopping Trump from coming in and trying to take over the country permanently, please sign up NOW to call swing state voters to get out the vote. YOU *can* make a difference right now. #NoTrump […]",2024-11-05T23:38:28.000Z,0,0,0,[],False,Kamala vote,Harris
cinemarsllani.bsky.social,Ayjan Arsllani,AMERICA! VOTE FOR KAMALA💙🇺🇸,2024-11-05T23:37:22.511Z,0,0,0,[],False,Kamala vote,Harris
indtusk.bsky.social,Diego Herrera ,"www.indigenousaction.org/voting-is-no...
A really important read. If you already voted for Kamala out of fear of what trump will do then I don't blame you. But I voted third party. If it were Mexico instead of Palestine I'd struggle to find a reason to vote for someone who is actively against me.",2024-11-05T23:37:20.567Z,0,0,1,[],False,Kamala vote,Neutral
